name,pred_category,pred_subcategory,probability,classifying_time_ms
image-106.jpeg,Daur Ulang,Paper Other,0.9826379418373108,0.468
image-107.jpeg,Guna Ulang,Metal Foil,0.9949803948402404,0.416
image-108.jpeg,Guna Ulang,Metal Foil,0.9932252764701844,0.413
image-109.jpeg,Guna Ulang,Metal Foil,0.8701037168502808,0.417
image-110.jpeg,Daur Ulang,Paper Other,0.9168450832366944,0.413
image-111.jpeg,Guna Ulang,Plastic Bottle,0.9999951124191284,0.418
image-112.jpeg,Guna Ulang,Plastic Bottle,0.999705731868744,0.41
image-113.jpeg,Guna Ulang,Plastic Bottle,0.99988055229187,0.417
image-114.jpeg,Daur Ulang,Paper Other,0.9605345129966736,0.417
image-115.jpeg,Residu,Tissue,0.964341938495636,0.422
image-116.jpeg,Residu,Tissue,0.9912788271903992,0.43
image-117.jpeg,Residu,Tissue,0.9971460700035096,0.414
image-118.jpeg,Daur Ulang,Paper Other,0.9581693410873412,0.415
image-119.jpeg,Daur Ulang,Paper Other,0.5614602565765381,0.416
image-120.jpeg,Guna Ulang,Glass Other,0.6445047855377197,0.414
image-121.jpeg,Daur Ulang,Paper Other,0.9753343462944032,0.449
image-122.jpeg,Guna Ulang,Plastic Bottle,0.5961582064628601,0.415
image-123.jpeg,Daur Ulang,Paper Other,0.9689837098121644,0.451
image-124.jpeg,Daur Ulang,Paper Other,0.9496951699256896,0.415
image-125.jpeg,B3,Facemask,0.9999333620071411,0.481
image-126.jpeg,B3,Facemask,0.9024132490158081,0.422
image-127.jpeg,Daur Ulang,Paper Other,0.9953343272209167,0.428
image-128.jpeg,B3,Facemask,0.9907931685447693,0.416
image-129.jpeg,Daur Ulang,Paper Other,0.9656713008880615,0.426
image-130.jpeg,Daur Ulang,Paper Other,0.969036877155304,0.422
image-131.jpeg,Daur Ulang,Paper Other,0.7209648489952087,0.423
image-132.jpeg,B3,Facemask,0.8142569661140442,0.413
image-133.jpeg,Daur Ulang,Paper Other,0.9449546337127686,0.476
image-134.jpeg,Guna Ulang,Metal Foil,0.9725789427757263,0.423
image-135.jpeg,Guna Ulang,Metal Can,0.7340145707130432,0.421
image-136.jpeg,Guna Ulang,Metal Foil,0.9913676381111145,0.416
image-137.jpeg,Guna Ulang,Metal Foil,0.9817259907722473,0.425
image-138.jpeg,Guna Ulang,Metal Can,0.6742731332778931,0.415
image-139.jpeg,Guna Ulang,Metal Foil,0.7947272658348083,0.419
