name,pred_category,pred_subcategory,probability,classifying_time_ms
image-186.jpeg,Guna Ulang,Glass Other,0.6000207662582397,0.409
image-187.jpeg,Guna Ulang,Glass Other,0.6059224605560303,0.413
image-188.jpeg,Residu,Cigarette,0.6069427728652954,0.411
image-189.jpeg,Guna Ulang,Glass Other,0.4710669219493866,0.415
image-190.jpeg,Daur Ulang,Paper Other,0.9378756880760192,0.41
image-191.jpeg,Guna Ulang,Metal Can,0.6785335540771484,0.412
image-192.jpeg,Guna Ulang,Metal Foil,0.8249320983886719,0.407
image-193.jpeg,Guna Ulang,Metal Foil,0.9224558472633362,0.471
image-194.jpeg,Guna Ulang,Metal Foil,0.9896629452705383,0.419
image-195.jpeg,Guna Ulang,Plastic Bag,0.39057791233062744,0.42
image-196.jpeg,Daur Ulang,Carton,0.6983503103256226,0.416
image-197.jpeg,Daur Ulang,Carton,0.3911344110965729,0.415
image-198.jpeg,Daur Ulang,Paper Other,0.9971440434455872,0.42
image-199.jpeg,Guna Ulang,Glass Other,0.4830707013607025,0.427
image-200.jpeg,Daur Ulang,Newspaper,0.9996657371520996,0.431
image-201.jpeg,Daur Ulang,Newspaper,0.9796378016471863,0.419
image-202.jpeg,Daur Ulang,Newspaper,0.5825003385543823,0.429
image-203.jpeg,Daur Ulang,Paper Other,0.9994231462478638,0.424
image-204.jpeg,Guna Ulang,Plastic Bag,0.8383570909500122,0.425
image-205.jpeg,Daur Ulang,Paper Other,0.8149036765098572,0.425
